dataset,metric,old_value,verified_value,status,notes
blinkit_dataset.csv,row_count,13000,13000,MATCH,
blinkit_dataset.csv,column_count,25,25,MATCH,
blinkit_dataset.csv,column_names,product_id|product_name|category|brand|price|discount_pct|final_price|rating|num_reviews|delivery_time_min|city|seller|stock|sold_quantity|profit_margin_pct|is_organic|packaging_type|weight_g|shelf_life_days|reorder_level|demand_index|date_added|expiry_date|offer_type|delivery_status,product_id|product_name|category|brand|price|discount_pct|final_price|rating|num_reviews|delivery_time_min|city|seller|stock|sold_quantity|profit_margin_pct|is_organic|packaging_type|weight_g|shelf_life_days|reorder_level|demand_index|date_added|expiry_date|offer_type|delivery_status,MATCH,
blinkit_dataset.csv,duplicate_row_count,0,0,MATCH,
blinkit_dataset.csv,product_id.missing_count,0,0,MATCH,
blinkit_dataset.csv,product_id.unique_count,13000,13000,MATCH,
blinkit_dataset.csv,product_name.missing_count,0,0,MATCH,
blinkit_dataset.csv,category.missing_count,0,0,MATCH,
blinkit_dataset.csv,brand.missing_count,0,0,MATCH,
blinkit_dataset.csv,price.missing_count,0,0,MATCH,
blinkit_dataset.csv,discount_pct.missing_count,0,0,MATCH,
blinkit_dataset.csv,final_price.missing_count,0,0,MATCH,
blinkit_dataset.csv,rating.missing_count,0,0,MATCH,
blinkit_dataset.csv,num_reviews.missing_count,0,0,MATCH,
blinkit_dataset.csv,delivery_time_min.missing_count,0,0,MATCH,
blinkit_dataset.csv,city.missing_count,0,0,MATCH,
blinkit_dataset.csv,seller.missing_count,0,0,MATCH,
blinkit_dataset.csv,stock.missing_count,0,0,MATCH,
blinkit_dataset.csv,sold_quantity.missing_count,0,0,MATCH,
blinkit_dataset.csv,profit_margin_pct.missing_count,0,0,MATCH,
blinkit_dataset.csv,is_organic.missing_count,0,0,MATCH,
blinkit_dataset.csv,packaging_type.missing_count,0,0,MATCH,
blinkit_dataset.csv,weight_g.missing_count,0,0,MATCH,
blinkit_dataset.csv,shelf_life_days.missing_count,0,0,MATCH,
blinkit_dataset.csv,reorder_level.missing_count,0,0,MATCH,
blinkit_dataset.csv,demand_index.missing_count,0,0,MATCH,
blinkit_dataset.csv,date_added.missing_count,0,0,MATCH,
blinkit_dataset.csv,expiry_date.missing_count,0,0,MATCH,
blinkit_dataset.csv,offer_type.missing_count,6544,6544,MATCH,
blinkit_dataset.csv,delivery_status.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,row_count,100000,100000,MATCH,
ecommerce_delivery_analytics.csv,column_count,11,11,MATCH,
ecommerce_delivery_analytics.csv,column_names,Order ID|Customer ID|Platform|Order Date & Time|Delivery Time (Minutes)|Product Category|Order Value (INR)|Customer Feedback|Service Rating|Delivery Delay|Refund Requested,Order ID|Customer ID|Platform|Order Date & Time|Delivery Time (Minutes)|Product Category|Order Value (INR)|Customer Feedback|Service Rating|Delivery Delay|Refund Requested,MATCH,
ecommerce_delivery_analytics.csv,duplicate_row_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Order ID.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Order ID.unique_count,100000,100000,MATCH,
ecommerce_delivery_analytics.csv,Customer ID.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Customer ID.unique_count,9000,9000,MATCH,
ecommerce_delivery_analytics.csv,Platform.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Order Date & Time.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Delivery Time (Minutes).missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Product Category.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Order Value (INR).missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Customer Feedback.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Service Rating.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Delivery Delay.missing_count,0,0,MATCH,
ecommerce_delivery_analytics.csv,Refund Requested.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,row_count,60000,60000,MATCH,
ecommerce_return_abuse_dataset.csv,column_count,35,35,MATCH,
ecommerce_return_abuse_dataset.csv,column_names,order_id|customer_id|age|account_age_days|customer_segment|country|platform|device_type|payment_method|product_category|avg_order_value_usd|refund_amount_requested_usd|is_high_value_item|discount_used|order_date|return_date|days_to_return|return_reason|total_orders_lifetime|total_returns_lifetime|return_rate_pct|item_returned_opened|return_packaging_intact|photo_evidence_provided|tracking_number_valid|shipping_carrier|address_change_before_delivery|refund_to_different_account|multiple_accounts_flag|customer_support_contacts|previous_dispute_count|wishlist_to_cart_time_hrs|review_left_after_return|abuse_type|abuse_label,order_id|customer_id|age|account_age_days|customer_segment|country|platform|device_type|payment_method|product_category|avg_order_value_usd|refund_amount_requested_usd|is_high_value_item|discount_used|order_date|return_date|days_to_return|return_reason|total_orders_lifetime|total_returns_lifetime|return_rate_pct|item_returned_opened|return_packaging_intact|photo_evidence_provided|tracking_number_valid|shipping_carrier|address_change_before_delivery|refund_to_different_account|multiple_accounts_flag|customer_support_contacts|previous_dispute_count|wishlist_to_cart_time_hrs|review_left_after_return|abuse_type|abuse_label,MATCH,
ecommerce_return_abuse_dataset.csv,duplicate_row_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,order_id.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,order_id.unique_count,60000,60000,MATCH,
ecommerce_return_abuse_dataset.csv,customer_id.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,customer_id.unique_count,58006,58006,MATCH,
ecommerce_return_abuse_dataset.csv,age.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,account_age_days.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,customer_segment.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,country.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,platform.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,device_type.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,payment_method.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,product_category.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,avg_order_value_usd.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,refund_amount_requested_usd.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,is_high_value_item.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,discount_used.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,order_date.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,return_date.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,days_to_return.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,return_reason.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,total_orders_lifetime.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,total_returns_lifetime.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,return_rate_pct.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,item_returned_opened.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,return_packaging_intact.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,photo_evidence_provided.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,tracking_number_valid.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,shipping_carrier.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,address_change_before_delivery.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,refund_to_different_account.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,multiple_accounts_flag.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,customer_support_contacts.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,previous_dispute_count.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,wishlist_to_cart_time_hrs.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,review_left_after_return.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,abuse_type.missing_count,0,0,MATCH,
ecommerce_return_abuse_dataset.csv,abuse_label.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,row_count,100000,100000,MATCH,
final_new_cleaned_orders.csv,column_count,18,18,MATCH,
final_new_cleaned_orders.csv,column_names,order_id|customer_id|platform_name|product_category_id|order_datetime|delivery_time_min|order_value_inr|delivery_delay|refund_requested|service_rating|customer_feedback|product_category_name|sla_delay|Segment|hour|weekday|date|order_hour,order_id|customer_id|platform_name|product_category_id|order_datetime|delivery_time_min|order_value_inr|delivery_delay|refund_requested|service_rating|customer_feedback|product_category_name|sla_delay|Segment|hour|weekday|date|order_hour,MATCH,
final_new_cleaned_orders.csv,duplicate_row_count,0,0,MATCH,
final_new_cleaned_orders.csv,order_id.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,order_id.unique_count,100000,100000,MATCH,
final_new_cleaned_orders.csv,customer_id.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,customer_id.unique_count,9000,9000,MATCH,
final_new_cleaned_orders.csv,platform_name.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,product_category_id.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,product_category_id.unique_count,6,6,MATCH,
final_new_cleaned_orders.csv,order_datetime.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,delivery_time_min.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,order_value_inr.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,delivery_delay.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,refund_requested.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,service_rating.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,customer_feedback.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,product_category_name.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,sla_delay.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,Segment.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,hour.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,weekday.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,date.missing_count,0,0,MATCH,
final_new_cleaned_orders.csv,order_hour.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,row_count,34500,34500,MATCH,
Kaggle_Ecommerce Data.csv,column_count,19,19,MATCH,
Kaggle_Ecommerce Data.csv,column_names,order_id|customer_id|product_id|category|price|discount|quantity|payment_method|order_date|delivered_date|region|returned|request_date|return_reason|total_amount|shipping_cost|profit_margin|customer_age|customer_gender,order_id|customer_id|product_id|category|price|discount|quantity|payment_method|order_date|delivered_date|region|returned|request_date|return_reason|total_amount|shipping_cost|profit_margin|customer_age|customer_gender,MATCH,
Kaggle_Ecommerce Data.csv,duplicate_row_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,order_id.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,order_id.unique_count,34500,34500,MATCH,
Kaggle_Ecommerce Data.csv,customer_id.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,customer_id.unique_count,7903,7903,MATCH,
Kaggle_Ecommerce Data.csv,product_id.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,product_id.unique_count,24912,24912,MATCH,
Kaggle_Ecommerce Data.csv,category.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,price.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,discount.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,quantity.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,payment_method.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,order_date.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,delivered_date.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,region.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,returned.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,request_date.missing_count,32597,32597,MATCH,
Kaggle_Ecommerce Data.csv,return_reason.missing_count,32597,32597,MATCH,
Kaggle_Ecommerce Data.csv,total_amount.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,shipping_cost.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,profit_margin.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,customer_age.missing_count,0,0,MATCH,
Kaggle_Ecommerce Data.csv,customer_gender.missing_count,0,0,MATCH,
zepto_v2.csv,row_count,3732,3732,MATCH,
