parent_dataset,parent_column,child_dataset,child_column,parent_unique,child_unique,intersection,child_coverage_pct,parent_coverage_pct,jaccard,confidence,name_match,note,overlap_basis
blinkit_dataset.csv,product_id,Kaggle_Ecommerce Data.csv,product_id,13000,24912,0,0.0,0.0,0.0,LOW,True,shared normalized column name `product_id`,exact unique-value set intersection (capped collections excluded)
blinkit_dataset.csv,category,Kaggle_Ecommerce Data.csv,category,8,7,1,14.2857,12.5,0.071429,LOW,True,shared normalized column name `category`,exact unique-value set intersection (capped collections excluded)
blinkit_dataset.csv,category,zepto_v2.csv,Category,8,14,3,21.4286,37.5,0.157895,MEDIUM,True,shared normalized column name `category`,exact unique-value set intersection (capped collections excluded)
Kaggle_Ecommerce Data.csv,category,zepto_v2.csv,Category,7,14,0,0.0,0.0,0.0,LOW,True,shared normalized column name `category`,exact unique-value set intersection (capped collections excluded)
ecommerce_return_abuse_dataset.csv,order_id,ecommerce_delivery_analytics.csv,Order ID,60000,100000,0,0.0,0.0,0.0,LOW,True,shared normalized column name `order_id`,exact unique-value set intersection (capped collections excluded)
ecommerce_delivery_analytics.csv,Order ID,final_new_cleaned_orders.csv,order_id,100000,100000,100000,100.0,100.0,1.0,HIGH,True,shared normalized column name `order_id`,exact unique-value set intersection (capped collections excluded)
Kaggle_Ecommerce Data.csv,order_id,ecommerce_delivery_analytics.csv,Order ID,34500,100000,0,0.0,0.0,0.0,LOW,True,shared normalized column name `order_id`,exact unique-value set intersection (capped collections excluded)
ecommerce_return_abuse_dataset.csv,order_id,final_new_cleaned_orders.csv,order_id,60000,100000,0,0.0,0.0,0.0,LOW,True,shared normalized column name `order_id`,exact unique-value set intersection (capped collections excluded)
Kaggle_Ecommerce Data.csv,order_id,ecommerce_return_abuse_dataset.csv,order_id,34500,60000,0,0.0,0.0,0.0,LOW,True,shared normalized column name `order_id`,exact unique-value set intersection (capped collections excluded)
Kaggle_Ecommerce Data.csv,order_id,final_new_cleaned_orders.csv,order_id,34500,100000,0,0.0,0.0,0.0,LOW,True,shared normalized column name `order_id`,exact unique-value set intersection (capped collections excluded)
ecommerce_delivery_analytics.csv,Customer ID,ecommerce_return_abuse_dataset.csv,customer_id,9000,58006,0,0.0,0.0,0.0,LOW,True,shared normalized column name `customer_id`,exact unique-value set intersection (capped collections excluded)
ecommerce_delivery_analytics.csv,Customer ID,final_new_cleaned_orders.csv,customer_id,9000,9000,9000,100.0,100.0,1.0,HIGH,True,shared normalized column name `customer_id`,exact unique-value set intersection (capped collections excluded)
ecommerce_delivery_analytics.csv,Customer ID,Kaggle_Ecommerce Data.csv,customer_id,9000,7903,0,0.0,0.0,0.0,LOW,True,shared normalized column name `customer_id`,exact unique-value set intersection (capped collections excluded)
ecommerce_return_abuse_dataset.csv,customer_id,final_new_cleaned_orders.csv,customer_id,58006,9000,0,0.0,0.0,0.0,LOW,True,shared normalized column name `customer_id`,exact unique-value set intersection (capped collections excluded)
Kaggle_Ecommerce Data.csv,customer_id,ecommerce_return_abuse_dataset.csv,customer_id,7903,58006,0,0.0,0.0,0.0,LOW,True,shared normalized column name `customer_id`,exact unique-value set intersection (capped collections excluded)
final_new_cleaned_orders.csv,customer_id,Kaggle_Ecommerce Data.csv,customer_id,9000,7903,0,0.0,0.0,0.0,LOW,True,shared normalized column name `customer_id`,exact unique-value set intersection (capped collections excluded)
