dataset,column,total_rows,unique_values,nulls,duplicate_values,uniqueness_pct
blinkit_dataset.csv,product_id,13000,13000,0,0,100.0
ecommerce_delivery_analytics.csv,Order ID,100000,100000,0,0,100.0
ecommerce_delivery_analytics.csv,Customer ID,100000,9000,0,91000,9.0
ecommerce_return_abuse_dataset.csv,order_id,60000,60000,0,0,100.0
ecommerce_return_abuse_dataset.csv,customer_id,60000,58006,0,1994,96.6767
final_new_cleaned_orders.csv,order_id,100000,100000,0,0,100.0
final_new_cleaned_orders.csv,customer_id,100000,9000,0,91000,9.0
final_new_cleaned_orders.csv,product_category_id,100000,6,0,99994,0.006
Kaggle_Ecommerce Data.csv,order_id,34500,34500,0,0,100.0
Kaggle_Ecommerce Data.csv,customer_id,34500,7903,0,26597,22.9072
Kaggle_Ecommerce Data.csv,product_id,34500,24912,0,9588,72.2087
