dataset_a,col_a,dataset_b,col_b,top_overlap_count,classification
blinkit_dataset.csv,category,Kaggle_Ecommerce Data.csv,category,1,VALUE_OVERLAP
blinkit_dataset.csv,category,zepto_v2.csv,Category,3,VALUE_OVERLAP
Kaggle_Ecommerce Data.csv,category,zepto_v2.csv,Category,0,VALUE_OVERLAP
blinkit_dataset.csv,price,Kaggle_Ecommerce Data.csv,price,0,VALUE_OVERLAP
blinkit_dataset.csv,delivery_time_min,final_new_cleaned_orders.csv,delivery_time_min,8,VALUE_OVERLAP
ecommerce_delivery_analytics.csv,Platform,ecommerce_return_abuse_dataset.csv,platform,0,VALUE_OVERLAP
ecommerce_delivery_analytics.csv,Product Category,ecommerce_return_abuse_dataset.csv,product_category,1,VALUE_OVERLAP
ecommerce_delivery_analytics.csv,Order Value (INR),final_new_cleaned_orders.csv,order_value_inr,0,VALUE_OVERLAP
ecommerce_delivery_analytics.csv,Customer Feedback,final_new_cleaned_orders.csv,customer_feedback,13,VALUE_OVERLAP
ecommerce_delivery_analytics.csv,Service Rating,final_new_cleaned_orders.csv,service_rating,5,VALUE_OVERLAP
ecommerce_delivery_analytics.csv,Delivery Delay,final_new_cleaned_orders.csv,delivery_delay,2,VALUE_OVERLAP
ecommerce_delivery_analytics.csv,Refund Requested,final_new_cleaned_orders.csv,refund_requested,0,VALUE_OVERLAP
ecommerce_return_abuse_dataset.csv,payment_method,Kaggle_Ecommerce Data.csv,payment_method,3,VALUE_OVERLAP
ecommerce_return_abuse_dataset.csv,order_date,Kaggle_Ecommerce Data.csv,order_date,0,VALUE_OVERLAP
ecommerce_return_abuse_dataset.csv,return_reason,Kaggle_Ecommerce Data.csv,return_reason,0,VALUE_OVERLAP
Kaggle_Ecommerce Data.csv,quantity,zepto_v2.csv,quantity,2,VALUE_OVERLAP
