age,account_age_days,customer_segment,country,platform,device_type,payment_method,product_category,avg_order_value_usd,is_high_value_item,discount_used,order_date,return_date,days_to_return,return_reason,shipping_carrier,multiple_accounts_flag,wishlist_to_cart_time_hrs,total_returns_lifetime,total_orders_lifetime,return_rate_pct,customer_support_contacts,previous_dispute_count,refund_amount_requested_usd,customer_return_count_prior,returns_last_30d_prior,returns_last_90d_prior,total_returns_lifetime_prior,abuse_label
28,1740,Bronze,US,Mobile App,MacBook,Buy Now Pay Later,Grocery,117.72,0,0,2022-08-06,2022-08-29,23,Not As Described,UPS,0,52.5,3,31,9.7,0,0,102.2,0,0,0,0,0
47,804,New,US,Mobile App,iPhone,PayPal,Beauty,46.24,0,0,2022-10-13,2022-11-02,20,Defective/Broken,USPS,0,67.7,1,19,5.3,0,0,44.33,0,0,0,0,0
51,2360,Silver,AU,Tablet App,Windows PC,Credit Card,Toys,129.98,0,1,2022-02-15,2022-03-16,29,Found Better Price,USPS,1,31.7,29,69,42.0,5,1,120.74,0,0,0,0,1
59,1190,Silver,CA,Tablet App,Windows PC,PayPal,Shoes,380.92,1,0,2022-01-05,2022-01-31,26,Found Better Price,UPS,0,0.2,16,29,55.2,6,4,343.51,0,0,0,0,3
29,1882,Gold,CA,Tablet App,iPad,PayPal,Electronics,234.87,1,0,2022-11-16,2022-12-16,30,Accidental Order,USPS,0,11.5,0,10,0.0,0,1,226.6,0,0,0,0,0
61,542,Bronze,AU,Web Browser,iPhone,Credit Card,Beauty,92.74,0,1,2023-06-12,2023-06-14,2,Found Better Price,DHL,0,29.6,0,4,0.0,0,0,89.7,0,0,0,0,0
54,348,Bronze,US,Web Browser,Windows PC,Credit Card,Electronics,293.92,1,0,2023-09-08,2023-10-08,30,Quality Issue,OnTrac,0,59.3,0,18,0.0,1,0,266.12,0,0,0,0,0
37,560,Gold,GB,Web Browser,Windows PC,Gift Card,Furniture,200.18,1,0,2023-05-02,2023-05-04,2,Arrived Late,USPS,0,8.3,4,34,11.8,1,0,181.91,0,0,0,0,0
29,1831,Bronze,US,Web Browser,MacBook,Gift Card,Electronics,44.47,0,0,2022-06-09,2022-06-20,11,Too Small,UPS,0,54.5,0,45,0.0,1,0,39.38,0,0,0,0,0
32,1033,Silver,BR,Tablet App,MacBook,Gift Card,Electronics,280.34,1,0,2023-04-19,2023-04-21,2,Too Small,USPS,0,0.8,5,11,45.5,2,0,278.24,0,0,0,0,2
19,2113,Silver,CA,Tablet App,iPhone,Buy Now Pay Later,Sports,145.68,0,0,2023-04-18,2023-05-14,26,Quality Issue,UPS,0,53.5,1,17,5.9,0,1,143.17,0,0,0,0,0
63,1748,New,US,Web Browser,iPhone,PayPal,Shoes,549.12,1,0,2023-05-06,2023-05-08,2,Arrived Late,OnTrac,0,2.7,1,3,33.3,1,0,545.38,0,0,0,0,2
50,2473,Silver,US,Tablet App,iPhone,Debit Card,Electronics,112.64,0,0,2023-10-28,2023-10-29,1,Quality Issue,USPS,0,16.9,15,27,55.6,5,4,109.81,0,0,0,0,1
57,569,Silver,US,Mobile App,Windows PC,Credit Card,Home & Kitchen,43.43,0,1,2023-10-16,2023-10-23,7,Defective/Broken,DHL,0,19.9,6,15,40.0,5,5,40.1,0,0,0,0,1
18,490,Platinum,DE,Mobile App,iPad,Credit Card,Electronics,61.75,0,0,2022-04-30,2022-05-16,16,Arrived Late,DHL,0,63.3,9,66,13.6,1,1,60.07,0,0,0,0,0
43,619,Silver,US,Mobile App,MacBook,Credit Card,Home & Kitchen,86.35,0,0,2023-01-13,2023-01-21,8,Item Not Received,USPS,0,31.4,2,22,9.1,1,1,84.14,0,0,0,0,0
