order_id,customer_id,platform_name,product_category_id,order_datetime,delivery_time_min,order_value_inr,delivery_delay,refund_requested,service_rating,customer_feedback,product_category_name,sla_delay,Segment,hour,weekday,date,order_hour
ORD000001,CUST2824,Blinkit,4,16-05-2025 14:31,15,382,No,0,5,"Fast delivery, great service!",Fruits & Vegetables,No,Price-only,8,Monday,16-05-2025,14
ORD000002,CUST1409,Blinkit,1,02-05-2025 18:45,6,90,No,0,5,Quick and reliable!,Dairy ,No,Price-only,5,Saturday,02-05-2025,18
ORD000003,CUST5506,Blinkit,5,09-05-2025 22:28,14,599,No,1,4,Items missing from order.,Beverages,No,Loyalist,23,Monday,09-05-2025,22
ORD000004,CUST5012,Blinkit,5,07-05-2025 09:42,13,40,Yes,0,4,Items missing from order.,Beverages,No,Price-only,20,Monday,07-05-2025,9
ORD000005,CUST4657,Blinkit,5,13-05-2025 21:37,8,110,No,0,5,"Fast delivery, great service!",Beverages,No,Loyalist,19,Monday,13-05-2025,21
ORD000006,CUST3286,Blinkit,6,12-05-2025 11:21,9,144,No,0,5,Items missing from order.,Personal Care,No,Price-only,3,Monday,12-05-2025,11
ORD000007,CUST2679,Blinkit,6,08-05-2025 21:53,17,155,No,0,4,"Fast delivery, great service!",Personal Care,Yes,Price-only,13,Monday,08-05-2025,21
ORD000008,CUST9935,Swiggy Instamart,6,13-05-2025 04:42,11,195,No,0,4,"Horrible experience, never ordering again.",Personal Care,No,Promisable,12,Saturday,13-05-2025,4
ORD000009,CUST2424,Blinkit,4,12-05-2025 19:13,14,182,No,0,5,Very satisfied with the service.,Fruits & Vegetables,No,Price-only,16,Thursday,12-05-2025,19
ORD000010,CUST7912,Blinkit,2,03-05-2025 10:29,12,78,Yes,0,5,"Very late delivery, not happy.",Grocery,No,Price-only,15,Saturday,03-05-2025,10
ORD000011,CUST1520,Blinkit,4,15-05-2025 18:59,11,553,No,0,5,"Fast delivery, great service!",Fruits & Vegetables,No,Price-only,21,Tuesday,15-05-2025,18
ORD000012,CUST1488,Blinkit,2,10-05-2025 17:04,11,150,No,0,3,Excellent experience!,Grocery,No,Price-only,9,Wednesday,10-05-2025,17
ORD000013,CUST2535,Blinkit,4,14-05-2025 23:18,14,3454,Yes,0,4,"Horrible experience, never ordering again.",Fruits & Vegetables,No,Loyalist,14,Wednesday,14-05-2025,23
