feature,importance
return_rate_pct,1972
total_returns_lifetime,1109
avg_order_value_usd,1046
refund_amount_requested_usd,980
total_orders_lifetime,953
days_to_return,921
wishlist_to_cart_time_hrs,884
account_age_days,511
order_date_day,367
customer_support_contacts,359
return_date_dayofyear,355
age,336
order_date_dayofyear,328
previous_dispute_count,272
calculated_days_to_return,265
multiple_accounts_flag,252
return_date_day,238
return_date_dayofweek,180
order_date_dayofweek,116
platform,98
is_high_value_item,72
discount_used,61
return_date_month,56
order_date_month,50
return_reason,30
order_date_year,13
return_date_is_weekend,11
return_date_year,11
payment_method,7
order_date_is_weekend,6
product_category,1
device_type,0
country,0
customer_segment,0
shipping_carrier,0
customer_return_count_prior,0
returns_last_90d_prior,0
total_returns_lifetime_prior,0
returns_last_30d_prior,0
