policy_threshold,fraud_threshold,wardrobing_threshold,accuracy,macro_f1,policy_precision,policy_recall,policy_f1
0.3,0.5,0.4,0.9314444444444444,0.914685293260632,0.7442528735632183,0.7031674208144797,0.7231270358306189
0.3,0.5,0.3,0.9314444444444444,0.914685293260632,0.7442528735632183,0.7031674208144797,0.7231270358306189
0.3,0.5,0.5,0.9314444444444444,0.9146846976822682,0.7442528735632183,0.7031674208144797,0.7231270358306189
0.35,0.5,0.4,0.9343333333333333,0.9142503896975867,0.7906724511930586,0.6597285067873303,0.7192895905278737
0.35,0.5,0.3,0.9343333333333333,0.9142503896975867,0.7906724511930586,0.6597285067873303,0.7192895905278737
0.35,0.5,0.5,0.9343333333333333,0.9142496721145343,0.7906724511930586,0.6597285067873303,0.7192895905278737
0.3,0.4,0.4,0.931,0.9140922704483906,0.7442528735632183,0.7031674208144797,0.7231270358306189
0.3,0.4,0.3,0.931,0.9140922704483906,0.7442528735632183,0.7031674208144797,0.7231270358306189
0.3,0.4,0.5,0.931,0.9140916889154569,0.7442528735632183,0.7031674208144797,0.7231270358306189
0.35,0.4,0.4,0.9338888888888889,0.9136589004853284,0.7906724511930586,0.6597285067873303,0.7192895905278737
0.35,0.4,0.3,0.9338888888888889,0.9136589004853284,0.7906724511930586,0.6597285067873303,0.7192895905278737
0.35,0.4,0.5,0.9338888888888889,0.9136581966143447,0.7906724511930586,0.6597285067873303,0.7192895905278737
0.3,0.3,0.3,0.9303333333333333,0.9129539985652092,0.7437619961612284,0.7013574660633484,0.7219375873311598
0.3,0.3,0.4,0.9303333333333333,0.9129539985652092,0.7437619961612284,0.7013574660633484,0.7219375873311598
0.3,0.3,0.5,0.9303333333333333,0.912953432367704,0.7437619961612284,0.7013574660633484,0.7219375873311598
0.35,0.3,0.4,0.9333333333333333,0.9127881677181634,0.7904451682953312,0.6588235294117647,0.7186574531095755
0.35,0.3,0.3,0.9333333333333333,0.9127881677181634,0.7904451682953312,0.6588235294117647,0.7186574531095755
0.35,0.3,0.5,0.9333333333333333,0.9127874787586847,0.7904451682953312,0.6588235294117647,0.7186574531095755
0.25,0.5,0.3,0.9174444444444444,0.9055851991064358,0.6497659906396256,0.7538461538461538,0.6979472140762464
0.25,0.5,0.4,0.9174444444444444,0.9055851991064358,0.6497659906396256,0.7538461538461538,0.6979472140762464
0.25,0.5,0.5,0.9174444444444444,0.9055850987233474,0.6497659906396256,0.7538461538461538,0.6979472140762464
0.25,0.4,0.3,0.917,0.904989633370309,0.6497659906396256,0.7538461538461538,0.6979472140762464
0.25,0.4,0.4,0.917,0.904989633370309,0.6497659906396256,0.7538461538461538,0.6979472140762464
0.25,0.4,0.5,0.917,0.9049895478812235,0.6497659906396256,0.7538461538461538,0.6979472140762464
0.25,0.3,0.3,0.9163333333333333,0.9038722166343975,0.64921875,0.7520361990950226,0.6968553459119496
0.25,0.3,0.4,0.9163333333333333,0.9038722166343975,0.64921875,0.7520361990950226,0.6968553459119496
0.25,0.3,0.5,0.9163333333333333,0.9038721476797009,0.64921875,0.7520361990950226,0.6968553459119496
