feature,importance_gain,importance_gain_pct,importance_split
days_to_return,204773.3124023378,30.72,1225
wishlist_to_cart_time_hrs,183416.74457597733,27.51,1749
avg_order_value_usd,70790.15749049187,10.62,2150
multiple_accounts_flag,70656.8340229094,10.6,358
is_high_value_item,37955.74599015713,5.69,240
return_reason,20163.25708013773,3.02,839
calculated_days_to_return,18620.094238638878,2.79,264
discount_used,18092.331219762564,2.71,466
customer_segment,11151.948451906443,1.67,481
account_age_days,4363.625999897718,0.65,1458
age,3701.122128009796,0.56,1270
return_date_dayofyear,3335.086268723011,0.5,1005
order_date_dayofyear,3272.158428609371,0.49,1020
return_date_day,2960.825605586171,0.44,945
order_date_day,2659.0010991990566,0.4,863
product_category,2218.3928856253624,0.33,451
payment_method,1721.098153680563,0.26,275
order_date_dayofweek,1567.511333733797,0.24,536
return_date_dayofweek,1333.4199000895023,0.2,453
platform,1108.423662930727,0.17,382
country,583.953432738781,0.09,161
order_date_month,477.80706229805946,0.07,154
device_type,471.7257016301155,0.07,125
return_date_month,392.5359806418419,0.06,122
shipping_carrier,287.2964001893997,0.04,82
order_date_year,213.06024610996246,0.03,62
return_date_year,145.3752818107605,0.02,54
order_date_is_weekend,99.46060907840729,0.01,33
return_date_is_weekend,67.42051875591278,0.01,24
customer_return_count_prior,31.962386071681976,0.0,22
returns_last_90d_prior,31.926939964294434,0.0,6
returns_last_30d_prior,8.17775011062622,0.0,4
total_returns_lifetime_prior,0.45588400959968567,0.0,1
