feature,starting_value,tested_value,baseline_class,resulting_class,baseline_policy_abuser_prob,resulting_policy_abuser_prob,delta_policy_abuser_prob,class_transitioned
return_rate_pct,32.5,0.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
return_rate_pct,32.5,10.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
return_rate_pct,32.5,20.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,-0.0,False
return_rate_pct,32.5,30.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
return_rate_pct,32.5,40.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
return_rate_pct,32.5,60.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
return_rate_pct,32.5,80.0,Fraudulent Return,Fraudulent Return,0.0002,0.001,0.0008,False
total_returns_lifetime,13.0,0.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0001,False
total_returns_lifetime,13.0,2.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0001,False
total_returns_lifetime,13.0,5.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
total_returns_lifetime,13.0,10.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
total_returns_lifetime,13.0,20.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
total_returns_lifetime,13.0,40.0,Fraudulent Return,Fraudulent Return,0.0002,0.0003,0.0001,False
customer_support_contacts,3.0,0.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
customer_support_contacts,3.0,1.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
customer_support_contacts,3.0,3.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
customer_support_contacts,3.0,5.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
customer_support_contacts,3.0,10.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
customer_support_contacts,3.0,15.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
previous_dispute_count,1.0,0.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
previous_dispute_count,1.0,1.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
previous_dispute_count,1.0,3.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
previous_dispute_count,1.0,6.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
previous_dispute_count,1.0,10.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
refund_amount_requested_usd,712.68,50.0,Fraudulent Return,Fraudulent Return,0.0002,0.0236,0.0234,False
refund_amount_requested_usd,712.68,200.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
refund_amount_requested_usd,712.68,500.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,-0.0,False
refund_amount_requested_usd,712.68,1200.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
total_orders_lifetime,40.0,1.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,-0.0,False
total_orders_lifetime,40.0,5.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,-0.0,False
total_orders_lifetime,40.0,20.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,-0.0,False
total_orders_lifetime,40.0,50.0,Fraudulent Return,Fraudulent Return,0.0002,0.0002,0.0,False
total_orders_lifetime,40.0,100.0,Fraudulent Return,Fraudulent Return,0.0002,0.0032,0.0031,False
