accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,cohen_kappa,log_loss,brier_score,ece,policy_abuser_precision,policy_abuser_recall,policy_abuser_f1,legitimate_f1,fraud_f1,wardrobing_f1,confusion_matrix,experiment_code,experiment_description,feature_count
0.9181,0.8527,0.9213,0.8527,0.873,0.9091,0.828,0.8214,0.2118,0.1259,0.0085,0.8489,0.4699,0.605,0.944,0.9702,0.9729,"[[6105, 89, 36, 17], [551, 500, 6, 7], [8, 0, 813, 0], [23, 0, 0, 845]]",A,33-Feature Production Baseline,33
0.9807,0.9613,0.9843,0.9613,0.9716,0.9802,0.9602,0.9596,0.0607,0.0319,0.0036,0.9968,0.8665,0.9271,0.9877,0.9861,0.9856,"[[6231, 2, 9, 5], [124, 922, 8, 10], [6, 0, 815, 0], [9, 1, 0, 858]]",B,33 + customer_support_contacts,34
0.9679,0.9347,0.9788,0.9347,0.9533,0.9665,0.9338,0.932,0.1029,0.0532,0.0021,0.9916,0.7754,0.8703,0.9786,0.9818,0.9827,"[[6225, 6, 13, 3], [223, 825, 6, 10], [11, 0, 810, 0], [16, 1, 0, 851]]",C,33 + previous_dispute_count,34
0.9248,0.8645,0.9291,0.8645,0.8852,0.9172,0.8423,0.8367,0.1889,0.113,0.0055,0.8599,0.5075,0.6383,0.9486,0.982,0.9719,"[[6119, 88, 20, 20], [510, 540, 7, 7], [3, 0, 818, 0], [22, 0, 0, 846]]",D,33 + refund_amount_requested_usd,34
0.9988,0.9974,0.9973,0.9974,0.9973,0.9988,0.9975,0.9975,0.0052,0.0021,0.0005,1.0,0.9906,0.9953,0.9998,0.997,0.9971,"[[6247, 0, 0, 0], [1, 1054, 5, 4], [0, 0, 821, 0], [1, 0, 0, 867]]",E,33 + return_rate_pct,34
0.9433,0.8973,0.9533,0.8973,0.9176,0.9393,0.8821,0.8785,0.1564,0.0896,0.0045,0.9357,0.6288,0.7521,0.9604,0.9796,0.9781,"[[6153, 46, 30, 18], [392, 669, 1, 2], [3, 0, 818, 0], [18, 0, 0, 850]]",F,33 + total_orders_lifetime,34
0.9872,0.9769,0.9881,0.9769,0.9822,0.9871,0.9737,0.9735,0.0397,0.0207,0.0028,0.997,0.9258,0.96,0.9912,0.9849,0.9925,"[[6223, 3, 15, 6], [74, 985, 2, 3], [8, 0, 813, 0], [4, 0, 0, 864]]",G,33 + total_returns_lifetime,34
0.9992,0.9983,0.9985,0.9983,0.9984,0.9992,0.9984,0.9984,0.0039,0.0013,0.0002,1.0,0.9944,0.9972,0.9998,0.9988,0.9977,"[[6247, 0, 0, 0], [1, 1058, 2, 3], [0, 0, 821, 0], [1, 0, 0, 867]]",H,33 + return_rate_pct + total_returns_lifetime,35
0.9992,0.9985,0.9982,0.9985,0.9983,0.9992,0.9984,0.9984,0.0045,0.0015,0.0003,1.0,0.9953,0.9976,0.9998,0.9982,0.9977,"[[6246, 0, 1, 0], [0, 1059, 2, 3], [0, 0, 821, 0], [1, 0, 0, 867]]",I,33 + total_orders_lifetime + total_returns_lifetime,35
0.9922,0.9835,0.9912,0.9835,0.9872,0.9922,0.984,0.9839,0.0319,0.0143,0.0029,0.997,0.9474,0.9716,0.9961,0.9909,0.9902,"[[6244, 0, 3, 0], [38, 1008, 8, 10], [3, 1, 817, 0], [5, 2, 0, 861]]",J,33 + previous_dispute_count + customer_support_contacts,35
0.9993,0.9986,0.9985,0.9986,0.9985,0.9993,0.9986,0.9986,0.0038,0.0012,0.0001,1.0,0.9944,0.9972,0.9999,0.9988,0.9983,"[[6247, 0, 0, 0], [1, 1058, 2, 3], [0, 0, 821, 0], [0, 0, 0, 868]]",K,33 + All Six Candidate Features (39 Feats),39
