threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,tp,fp,fn,tn
0.05,0.2704,0.9408,0.4201,0.3403,0.0592,1001,2701,63,5235
0.07,0.3053,0.8919,0.4549,0.2721,0.1081,949,2159,115,5777
0.09,0.338,0.8581,0.485,0.2253,0.1419,913,1788,151,6148
0.11,0.3671,0.8252,0.5081,0.1908,0.1748,878,1514,186,6422
0.13,0.3972,0.7876,0.528,0.1603,0.2124,838,1272,226,6664
0.15,0.428,0.7481,0.5445,0.1341,0.2519,796,1064,268,6872
0.17,0.4589,0.7246,0.562,0.1145,0.2754,771,909,293,7027
0.19,0.4863,0.7011,0.5743,0.0993,0.2989,746,788,318,7148
0.21,0.5085,0.6776,0.581,0.0878,0.3224,721,697,343,7239
0.23,0.5349,0.6626,0.5919,0.0772,0.3374,705,613,359,7323
0.25,0.5627,0.641,0.5993,0.0668,0.359,682,530,382,7406
0.27,0.5971,0.6184,0.6076,0.0559,0.3816,658,444,406,7492
0.29,0.6336,0.5996,0.6161,0.0465,0.4004,638,369,426,7567
0.31,0.6614,0.5893,0.6233,0.0404,0.4107,627,321,437,7615
0.33,0.6837,0.5771,0.6259,0.0358,0.4229,614,284,450,7652
0.35,0.7072,0.563,0.6269,0.0312,0.437,599,248,465,7688
0.37,0.7349,0.5498,0.629,0.0266,0.4502,585,211,479,7725
0.39,0.7579,0.5442,0.6335,0.0233,0.4558,579,185,485,7751
0.41,0.7824,0.5273,0.63,0.0197,0.4727,561,156,503,7780
0.43,0.7888,0.516,0.6239,0.0185,0.484,549,147,515,7789
0.45,0.8042,0.5019,0.6181,0.0164,0.4981,534,130,530,7806
0.47,0.8136,0.484,0.607,0.0149,0.516,515,118,549,7818
0.49,0.8276,0.4737,0.6025,0.0132,0.5263,504,105,560,7831
0.51,0.8515,0.469,0.6048,0.011,0.531,499,87,565,7849
0.53,0.8671,0.4539,0.5959,0.0093,0.5461,483,74,581,7862
0.55,0.8858,0.4445,0.592,0.0077,0.5555,473,61,591,7875
0.57,0.9066,0.438,0.5906,0.006,0.562,466,48,598,7888
0.59,0.924,0.4229,0.5803,0.0047,0.5771,450,37,614,7899
0.61,0.9328,0.4041,0.5639,0.0039,0.5959,430,31,634,7905
0.63,0.9441,0.3966,0.5586,0.0032,0.6034,422,25,642,7911
0.65,0.9583,0.3891,0.5535,0.0023,0.6109,414,18,650,7918
0.67,0.9663,0.3769,0.5423,0.0018,0.6231,401,14,663,7922
0.69,0.9776,0.3684,0.5352,0.0011,0.6316,392,9,672,7927
0.71,0.982,0.3581,0.5248,0.0009,0.6419,381,7,683,7929
0.73,0.9921,0.3524,0.5201,0.0004,0.6476,375,3,689,7933
0.75,0.9973,0.3477,0.5157,0.0001,0.6523,370,1,694,7935
0.77,1.0,0.3468,0.515,0.0,0.6532,369,0,695,7936
0.79,1.0,0.344,0.5119,0.0,0.656,366,0,698,7936
0.81,1.0,0.343,0.5108,0.0,0.657,365,0,699,7936
0.83,1.0,0.343,0.5108,0.0,0.657,365,0,699,7936
0.85,1.0,0.343,0.5108,0.0,0.657,365,0,699,7936
0.87,1.0,0.343,0.5108,0.0,0.657,365,0,699,7936
0.89,1.0,0.343,0.5108,0.0,0.657,365,0,699,7936
0.91,1.0,0.343,0.5108,0.0,0.657,365,0,699,7936
0.93,1.0,0.3421,0.5098,0.0,0.6579,364,0,700,7936
0.95,1.0,0.3421,0.5098,0.0,0.6579,364,0,700,7936
