scope,metric,production_value,candidate_value,delta (candidate - prod)
Overall,accuracy,0.917,0.9994,0.0824
Overall,balanced_accuracy,0.8521,0.9988,0.1467
Overall,macro_precision,0.9179,0.9985,0.0806
Overall,macro_recall,0.8521,0.9988,0.1467
Overall,macro_f1,0.8721,0.9987,0.1266
Overall,weighted_precision,0.9129,0.9994,0.0865
Overall,weighted_recall,0.917,0.9994,0.0824
Overall,weighted_f1,0.9082,0.9994,0.0912
Overall,cohens_kappa,0.8192,0.9989,0.1797
Overall,matthews_corrcoef,0.8254,0.9989,0.1735
Overall,log_loss,0.2113,0.0032,-0.2081
Overall,multiclass_brier_score,0.1265,0.0011,-0.1254
Overall,macro_roc_auc,0.9685,1.0,0.0315
Overall,weighted_roc_auc,0.9609,1.0,0.0391
Overall,expected_calibration_error,0.0068,0.0003,-0.0065
Overall,max_calibration_error,0.4826,0.4974,0.0148
Legitimate,precision,0.9128,1.0,0.0872
Legitimate,recall,0.9757,1.0,0.0243
Legitimate,f1,0.9432,1.0,0.0568
Legitimate,brier_score,0.062,0.0,-0.062
Legitimate,roc_auc,0.9579,1.0,0.0421
Legitimate,pr_auc,0.9786,1.0,0.0214
Policy Abuser,precision,0.8355,1.0,0.1645
Policy Abuser,recall,0.4727,0.9953,0.5226
Policy Abuser,f1,0.6038,0.9976,0.3938
Policy Abuser,brier_score,0.057,0.0006,-0.0564
Policy Abuser,roc_auc,0.9167,1.0,0.0833
Policy Abuser,pr_auc,0.7181,0.9998,0.2817
Fraudulent Return,precision,0.9508,0.9976,0.0468
Fraudulent Return,recall,0.9878,1.0,0.0122
Fraudulent Return,f1,0.9689,0.9988,0.0299
Fraudulent Return,brier_score,0.0039,0.0002,-0.0037
Fraudulent Return,roc_auc,0.9997,1.0,0.0003
Fraudulent Return,pr_auc,0.9964,0.9999,0.0035
Wardrobing,precision,0.9724,0.9966,0.0242
Wardrobing,recall,0.9724,1.0,0.0276
Wardrobing,f1,0.9724,0.9983,0.0259
Wardrobing,brier_score,0.0037,0.0003,-0.0034
Wardrobing,roc_auc,0.9998,1.0,0.0002
Wardrobing,pr_auc,0.9981,0.9999,0.0018
