sample_index,actual_label,production_label,production_confidence,candidate_label,candidate_confidence,confidence_delta,disagreement,return_rate_pct,total_returns_lifetime,total_orders_lifetime,customer_support_contacts,previous_dispute_count,primary_divergence_driver
2,Policy Abuser,Legitimate,0.5162,Policy Abuser,0.9993,0.4831,True,47.4,27,57,1,4,previous_dispute_count
24,Policy Abuser,Legitimate,0.89,Policy Abuser,0.9993,0.1093,True,56.0,42,75,2,3,previous_dispute_count
36,Policy Abuser,Legitimate,0.8677,Policy Abuser,0.9993,0.1316,True,82.4,61,74,3,4,previous_dispute_count
43,Policy Abuser,Legitimate,0.8608,Policy Abuser,0.9994,0.1386,True,75.0,15,20,2,4,previous_dispute_count
44,Policy Abuser,Legitimate,0.9246,Policy Abuser,0.9993,0.0747,True,84.1,95,113,1,4,previous_dispute_count
57,Policy Abuser,Legitimate,0.6946,Policy Abuser,0.9993,0.3047,True,79.7,59,74,3,1,total_returns_lifetime
68,Policy Abuser,Legitimate,0.9589,Policy Abuser,0.9994,0.0405,True,54.0,27,50,2,4,previous_dispute_count
94,Policy Abuser,Legitimate,0.8472,Policy Abuser,0.9993,0.1521,True,82.0,41,50,5,1,customer_support_contacts
153,Policy Abuser,Legitimate,0.8684,Policy Abuser,0.9993,0.1309,True,67.6,46,68,1,5,previous_dispute_count
158,Policy Abuser,Legitimate,0.7353,Policy Abuser,0.9993,0.264,True,65.3,47,72,2,5,previous_dispute_count
171,Policy Abuser,Legitimate,0.7533,Policy Abuser,0.9993,0.246,True,42.9,30,70,2,2,total_returns_lifetime
174,Policy Abuser,Legitimate,0.9091,Policy Abuser,0.9993,0.0902,True,66.0,33,50,6,3,customer_support_contacts
189,Policy Abuser,Legitimate,0.8295,Policy Abuser,0.9993,0.1698,True,81.1,43,53,4,4,previous_dispute_count
200,Legitimate,Policy Abuser,0.5386,Legitimate,0.9998,0.4612,True,0.0,0,40,1,0,return_rate_pct
229,Policy Abuser,Legitimate,0.6697,Policy Abuser,0.9993,0.3296,True,53.8,57,106,2,4,previous_dispute_count
242,Policy Abuser,Legitimate,0.8204,Policy Abuser,0.9993,0.1789,True,44.3,47,106,6,1,customer_support_contacts
264,Policy Abuser,Legitimate,0.5926,Policy Abuser,0.9993,0.4067,True,57.4,66,115,3,5,previous_dispute_count
294,Policy Abuser,Legitimate,0.8305,Policy Abuser,0.999,0.1685,True,43.2,19,44,1,1,total_returns_lifetime
354,Policy Abuser,Legitimate,0.892,Policy Abuser,0.9993,0.1073,True,59.6,59,99,1,0,total_returns_lifetime
355,Policy Abuser,Legitimate,0.7686,Policy Abuser,0.9993,0.2307,True,46.3,38,82,6,4,customer_support_contacts
367,Policy Abuser,Legitimate,0.882,Policy Abuser,0.9993,0.1173,True,75.9,66,87,5,2,customer_support_contacts
370,Policy Abuser,Legitimate,0.7787,Policy Abuser,0.9993,0.2206,True,64.4,58,90,3,0,total_returns_lifetime
375,Policy Abuser,Legitimate,0.7901,Policy Abuser,0.9993,0.2092,True,65.2,45,69,3,2,total_returns_lifetime
420,Policy Abuser,Legitimate,0.8539,Policy Abuser,0.9993,0.1454,True,78.0,32,41,4,2,total_returns_lifetime
423,Policy Abuser,Legitimate,0.8931,Policy Abuser,0.9993,0.1062,True,63.4,64,101,4,0,total_returns_lifetime
437,Policy Abuser,Legitimate,0.654,Policy Abuser,0.9993,0.3453,True,73.6,39,53,3,4,previous_dispute_count
486,Policy Abuser,Legitimate,0.8534,Policy Abuser,0.9993,0.1459,True,54.4,49,90,4,5,previous_dispute_count
487,Policy Abuser,Legitimate,0.6883,Policy Abuser,0.9992,0.3109,True,60.9,14,23,1,4,previous_dispute_count
512,Policy Abuser,Legitimate,0.9297,Policy Abuser,0.9993,0.0696,True,66.7,62,93,3,4,previous_dispute_count
513,Legitimate,Policy Abuser,0.5139,Legitimate,0.9998,0.4859,True,6.7,5,75,1,0,return_rate_pct
543,Policy Abuser,Legitimate,0.949,Policy Abuser,0.9993,0.0503,True,67.2,39,58,5,3,customer_support_contacts
545,Policy Abuser,Legitimate,0.5972,Policy Abuser,0.9992,0.402,True,78.9,45,57,5,0,customer_support_contacts
578,Policy Abuser,Legitimate,0.6856,Policy Abuser,0.9994,0.3138,True,68.8,11,16,6,2,customer_support_contacts
585,Policy Abuser,Legitimate,0.5149,Policy Abuser,0.9993,0.4844,True,57.1,16,28,2,1,total_returns_lifetime
595,Policy Abuser,Legitimate,0.9498,Policy Abuser,0.9993,0.0495,True,54.1,40,74,2,4,previous_dispute_count
606,Policy Abuser,Legitimate,0.5391,Policy Abuser,0.9993,0.4602,True,83.3,60,72,6,1,customer_support_contacts
645,Policy Abuser,Legitimate,0.5178,Policy Abuser,0.9982,0.4804,True,50.0,8,16,6,2,customer_support_contacts
652,Policy Abuser,Legitimate,0.8438,Policy Abuser,0.9993,0.1555,True,63.6,56,88,4,4,previous_dispute_count
663,Policy Abuser,Legitimate,0.6315,Policy Abuser,0.9994,0.3679,True,81.8,27,33,4,1,total_returns_lifetime
675,Policy Abuser,Legitimate,0.9092,Policy Abuser,0.9993,0.0901,True,52.0,26,50,6,1,customer_support_contacts
681,Policy Abuser,Legitimate,0.9233,Policy Abuser,0.9992,0.0759,True,64.0,16,25,3,4,previous_dispute_count
683,Policy Abuser,Legitimate,0.9216,Policy Abuser,0.9986,0.077,True,70.8,17,24,2,1,total_returns_lifetime
721,Policy Abuser,Legitimate,0.8728,Policy Abuser,0.9989,0.1261,True,40.5,17,42,5,3,customer_support_contacts
732,Policy Abuser,Legitimate,0.8654,Policy Abuser,0.9993,0.1339,True,74.2,66,89,5,2,customer_support_contacts
742,Policy Abuser,Legitimate,0.7333,Policy Abuser,0.9993,0.266,True,81.9,77,94,2,1,total_returns_lifetime
