class,class_name,feature,mean_abs_shap
0,Legitimate,multiple_accounts_flag,0.729760916340955
0,Legitimate,wishlist_to_cart_time_hrs,0.6329601998700808
0,Legitimate,avg_order_value_usd,0.5639740457507344
0,Legitimate,is_high_value_item,0.3148581622691313
0,Legitimate,days_to_return,0.257467054719202
0,Legitimate,discount_used,0.16020444534601588
0,Legitimate,return_reason,0.15251091436048383
0,Legitimate,customer_segment,0.1503428731812846
0,Legitimate,calculated_days_to_return,0.04500066917852451
0,Legitimate,payment_method,0.015631186745635725
0,Legitimate,product_category,0.014572943594037711
0,Legitimate,account_age_days,0.012968971047672802
0,Legitimate,country,0.01249915621779374
0,Legitimate,age,0.011059611021534405
0,Legitimate,return_date_dayofyear,0.010827414905042831
0,Legitimate,return_date_day,0.010708800723371258
0,Legitimate,order_date_dayofyear,0.008897847151684223
0,Legitimate,shipping_carrier,0.008231532997363145
0,Legitimate,device_type,0.007780059641013849
0,Legitimate,order_date_day,0.007166061073472411
0,Legitimate,return_date_dayofweek,0.006255353725509963
0,Legitimate,platform,0.005080144999929283
0,Legitimate,order_date_dayofweek,0.005055110953775505
0,Legitimate,customer_return_count_prior,0.0037575980160478033
0,Legitimate,order_date_year,0.0015606878504437459
0,Legitimate,order_date_month,0.001521265161447756
0,Legitimate,return_date_month,0.0014889698669765254
0,Legitimate,return_date_year,0.0006718668605570375
0,Legitimate,return_date_is_weekend,0.0003957980539111332
0,Legitimate,order_date_is_weekend,0.0002596426382039539
0,Legitimate,returns_last_90d_prior,0.00020027163294292306
0,Legitimate,returns_last_30d_prior,0.00018816643525132392
0,Legitimate,total_returns_lifetime_prior,0.0
1,Policy Abuser,is_high_value_item,2.189192918372056
1,Policy Abuser,avg_order_value_usd,0.44294805907843876
1,Policy Abuser,multiple_accounts_flag,0.302386521013374
1,Policy Abuser,wishlist_to_cart_time_hrs,0.18931805133504082
1,Policy Abuser,return_reason,0.1520991437725249
1,Policy Abuser,discount_used,0.1424914789968065
1,Policy Abuser,customer_segment,0.1369685924299804
1,Policy Abuser,days_to_return,0.08568687078156537
1,Policy Abuser,calculated_days_to_return,0.027143938144890127
1,Policy Abuser,account_age_days,0.021330766581375567
1,Policy Abuser,payment_method,0.017006956111831863
1,Policy Abuser,product_category,0.01636497156278959
1,Policy Abuser,return_date_day,0.014498560707872038
1,Policy Abuser,return_date_dayofyear,0.01344648140513818
1,Policy Abuser,order_date_dayofyear,0.010178536075381741
1,Policy Abuser,age,0.00948048806138432
1,Policy Abuser,order_date_day,0.008263389845310502
1,Policy Abuser,order_date_dayofweek,0.007845427935690685
1,Policy Abuser,platform,0.007531507571189302
1,Policy Abuser,device_type,0.007132701977375316
1,Policy Abuser,country,0.006654313399356774
1,Policy Abuser,return_date_dayofweek,0.006244581465897327
1,Policy Abuser,shipping_carrier,0.0038339252093403573
1,Policy Abuser,customer_return_count_prior,0.002741510750632019
1,Policy Abuser,order_date_year,0.0026622528777466774
1,Policy Abuser,order_date_month,0.002212605403339055
1,Policy Abuser,return_date_month,0.0017376063333567815
1,Policy Abuser,return_date_year,0.0012848509445100471
1,Policy Abuser,order_date_is_weekend,0.0011961053525300339
1,Policy Abuser,return_date_is_weekend,0.0011643477343231728
1,Policy Abuser,returns_last_90d_prior,0.0002606509473776116
1,Policy Abuser,returns_last_30d_prior,0.0
1,Policy Abuser,total_returns_lifetime_prior,0.0
2,Fraudulent Return,days_to_return,1.1493330911803208
2,Fraudulent Return,wishlist_to_cart_time_hrs,1.1111102182642878
2,Fraudulent Return,avg_order_value_usd,0.3160624850799351
2,Fraudulent Return,calculated_days_to_return,0.1684426812338051
2,Fraudulent Return,return_reason,0.08322713638024126
2,Fraudulent Return,payment_method,0.038525809517925905
2,Fraudulent Return,multiple_accounts_flag,0.0316446720707008
2,Fraudulent Return,customer_segment,0.024728314816311846
2,Fraudulent Return,discount_used,0.024358759535820586
2,Fraudulent Return,is_high_value_item,0.016516916890191767
2,Fraudulent Return,account_age_days,0.01059457128880249
2,Fraudulent Return,device_type,0.010148837934933846
2,Fraudulent Return,product_category,0.00927966147756957
2,Fraudulent Return,age,0.008840763769853403
2,Fraudulent Return,return_date_dayofyear,0.007933097222395533
2,Fraudulent Return,return_date_day,0.0063573599875620165
2,Fraudulent Return,order_date_dayofyear,0.006070218679580323
2,Fraudulent Return,country,0.005992200200645564
2,Fraudulent Return,order_date_dayofweek,0.005794310652499884
2,Fraudulent Return,order_date_day,0.005709080917709183
2,Fraudulent Return,platform,0.004519936398118685
2,Fraudulent Return,return_date_dayofweek,0.0028468847877393478
2,Fraudulent Return,shipping_carrier,0.0019675347506042428
2,Fraudulent Return,order_date_year,0.001520051609691407
2,Fraudulent Return,return_date_month,0.0015183432170568151
2,Fraudulent Return,order_date_month,0.0009042386240393386
2,Fraudulent Return,return_date_is_weekend,0.0005208288873889814
2,Fraudulent Return,return_date_year,0.0004513997355459288
2,Fraudulent Return,customer_return_count_prior,0.00021990955939249607
2,Fraudulent Return,order_date_is_weekend,0.00017266374868487046
2,Fraudulent Return,returns_last_30d_prior,0.0
2,Fraudulent Return,returns_last_90d_prior,0.0
2,Fraudulent Return,total_returns_lifetime_prior,0.0
3,Wardrobing,days_to_return,1.2352232841433584
3,Wardrobing,wishlist_to_cart_time_hrs,0.7504865594723586
3,Wardrobing,calculated_days_to_return,0.23136113998301056
3,Wardrobing,avg_order_value_usd,0.06363713336820462
3,Wardrobing,product_category,0.05461198961345516
3,Wardrobing,payment_method,0.03460701609272089
3,Wardrobing,return_reason,0.033780323896924674
3,Wardrobing,discount_used,0.023934482830631394
3,Wardrobing,multiple_accounts_flag,0.01735490996810635
3,Wardrobing,is_high_value_item,0.016613200190554494
3,Wardrobing,account_age_days,0.01106648172508379
3,Wardrobing,age,0.009763950862919374
3,Wardrobing,return_date_dayofyear,0.007543852995000721
3,Wardrobing,order_date_dayofweek,0.007386396795165365
3,Wardrobing,return_date_day,0.006975029938567403
3,Wardrobing,customer_segment,0.006760444228037281
3,Wardrobing,order_date_day,0.005602532810557157
3,Wardrobing,platform,0.005416211655531208
3,Wardrobing,order_date_dayofyear,0.005357629585803064
3,Wardrobing,return_date_dayofweek,0.003668419568424912
3,Wardrobing,shipping_carrier,0.0024152853524754877
3,Wardrobing,order_date_month,0.001680762378613389
3,Wardrobing,return_date_month,0.0013005884189127722
3,Wardrobing,order_date_is_weekend,0.0011645822682471094
3,Wardrobing,return_date_year,0.0011092911205596273
3,Wardrobing,order_date_year,0.0009774834455100877
3,Wardrobing,country,0.0007934863549513137
3,Wardrobing,return_date_is_weekend,0.00028368131037195615
3,Wardrobing,customer_return_count_prior,6.055757558353329e-05
3,Wardrobing,total_returns_lifetime_prior,4.711469508890043e-05
3,Wardrobing,device_type,0.0
3,Wardrobing,returns_last_30d_prior,0.0
3,Wardrobing,returns_last_90d_prior,0.0
