feature,mean_abs_shap_legitimate,mean_abs_shap_policy_abuser,mean_abs_shap_fraudulent_return,mean_abs_shap_wardrobing
multiple_accounts_flag,0.7151035192508605,0.3021048510240306,0.033891904591213114,0.016923216506853463
wishlist_to_cart_time_hrs,0.631426590248948,0.20272080592307867,1.1231500046400922,0.7385492751772618
avg_order_value_usd,0.5405389783592085,0.4369784955461226,0.3173940916009504,0.06928776565745776
is_high_value_item,0.3036415606687396,2.142674360898108,0.017082829600368134,0.018015374399989334
days_to_return,0.24078048906103672,0.08262661700899025,1.1434408230474054,1.1867948484367534
discount_used,0.1630888400264216,0.14474575674242088,0.0262586931865665,0.026278999226249215
customer_segment,0.15625856106194264,0.14432222584711019,0.02325861033061314,0.005741637858495204
return_reason,0.1556981324722306,0.15714830795858778,0.08204133290414231,0.03885794617083658
calculated_days_to_return,0.042117966788135903,0.025519995090783006,0.16766767116256245,0.22279279378386949
payment_method,0.016384293138570063,0.017011676437084556,0.03830569377279601,0.03608137689367752
product_category,0.014118059639376776,0.015928467106373016,0.009020734914869976,0.058123056375187984
account_age_days,0.013303352859931424,0.023442852295564916,0.010824225024494536,0.010642289777345545
country,0.012766948483766702,0.00560603383516662,0.00722063659665483,0.0008575324863379363
return_date_day,0.012741093453831726,0.020640535965760196,0.007642151016467534,0.006304346527629478
age,0.010686004856322576,0.008717096665520492,0.008012089435264198,0.010925647884729042
shipping_carrier,0.008376809354687587,0.003928699442264878,0.0019403610848118067,0.002548751064311353
return_date_dayofyear,0.00792479653711066,0.010740621022027089,0.00910887945096967,0.005030162541934328
order_date_day,0.007436287647049616,0.007622273472182352,0.0077623069195569255,0.004131384069560722
device_type,0.007194846555930915,0.00788690951914847,0.009285969657233115,0.0
order_date_dayofyear,0.005697931534241668,0.008487925362346342,0.009333270834472239,0.00365438956643822
platform,0.005198521471965487,0.00915405009486605,0.00529202233494561,0.006407010369684949
return_date_dayofweek,0.005052127499655634,0.004822530975394574,0.003357252677430181,0.0036202920005936738
customer_return_count_prior,0.004890105953031902,0.0026078950032029802,0.00028926175850498253,8.75413851971516e-05
order_date_dayofweek,0.004560339965807591,0.008470128845440147,0.005727195404974779,0.0072781594025417016
return_date_month,0.002204461662792965,0.0015628604921925492,0.002348762503076778,0.0011360712337550526
order_date_year,0.0019625415147992314,0.004425866078117003,0.0018550786342795226,0.0015586345876215804
order_date_month,0.0009728621793141595,0.002971527881171383,0.0011116963750510255,0.0009603058516532684
return_date_year,0.0008802479685324813,0.0014668936409547222,0.0005347720835873569,0.0015881851721150594
return_date_is_weekend,0.00033661875700916765,0.0009128642310533803,0.0006026790851737799,0.0003684399078470509
returns_last_30d_prior,0.00021156699165030457,0.0,0.0,0.0
order_date_is_weekend,0.00017860708659767608,0.0009488421704494925,0.00024671685595309195,0.0011832029426554714
returns_last_90d_prior,0.00014717543744713064,0.000255986326881136,0.0,0.0
total_returns_lifetime_prior,0.0,0.0,0.0,6.159041467376758e-05
