feature,mean_abs_shap
wishlist_to_cart_time_hrs,0.6739616689973454
days_to_return,0.6634106943885456
is_high_value_item,0.6203535313918012
avg_order_value_usd,0.34104983279093465
multiple_accounts_flag,0.2670058728432394
calculated_days_to_return,0.11452460670633778
return_reason,0.10843642987644929
discount_used,0.09009307229541451
customer_segment,0.08239525877454022
payment_method,0.026945760060532023
product_category,0.024297579508951925
account_age_days,0.014553179989334112
return_date_day,0.011832031740922235
age,0.009585209710459076
return_date_dayofyear,0.008201114888010435
order_date_dayofyear,0.006793379324374616
order_date_day,0.0067380630270874094
country,0.006612787850481519
platform,0.006512901067865523
order_date_dayofweek,0.006508955904691063
device_type,0.006091931433078123
return_date_dayofweek,0.004213050788268513
shipping_carrier,0.004198655236518907
order_date_year,0.0024505302037043336
customer_return_count_prior,0.001968701024984255
return_date_month,0.0018130389729543366
order_date_month,0.0015040980717974596
return_date_year,0.0011175247162974055
order_date_is_weekend,0.0006393422639139327
return_date_is_weekend,0.0005551504952708454
returns_last_90d_prior,0.00010079044108206664
returns_last_30d_prior,5.289174791257614e-05
total_returns_lifetime_prior,1.5397603668441896e-05
