feature,mean_abs_shap
days_to_return,0.6819275752061117
wishlist_to_cart_time_hrs,0.6709687572354414
is_high_value_item,0.6342952994304809
avg_order_value_usd,0.3466554308193281
multiple_accounts_flag,0.2702867548482848
calculated_days_to_return,0.11798710713505779
return_reason,0.10540437960254377
discount_used,0.08774729167731907
customer_segment,0.07970005616390356
payment_method,0.026442742117028573
product_category,0.02370739156196306
account_age_days,0.013990197660733648
return_date_dayofyear,0.009937711631894379
age,0.009786203428922844
return_date_day,0.009634937839343197
order_date_dayofyear,0.007626057873112354
order_date_day,0.006685266161762341
order_date_dayofweek,0.00652031158428285
country,0.006484789043186836
device_type,0.006265399888330737
platform,0.005636950156192115
return_date_dayofweek,0.004753809886892879
shipping_carrier,0.004112069577445833
customer_return_count_prior,0.0016948939754139682
order_date_year,0.0016801189458479832
order_date_month,0.0015797178918598909
return_date_month,0.0015113769590757273
return_date_year,0.0008793521652931604
order_date_is_weekend,0.0006982485019164933
return_date_is_weekend,0.0005911639964988099
returns_last_90d_prior,0.00011523064508013279
returns_last_30d_prior,4.704160881283098e-05
total_returns_lifetime_prior,1.1778673772225107e-05
